Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Mujahid, M.A., Bakar, K.A., Darwish, T.S.J., Zuhra, F.T.","57205572605;24437534400;56389456100;57196077817;","Cluster-based location service schemes in VANETs: current state, challenges and future directions",2021,"Telecommunication Systems","76","3",,"471","489",,2,"10.1007/s11235-020-00732-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094679291&doi=10.1007%2fs11235-020-00732-3&partnerID=40&md5=31cf7ab6ca87d129315d1563e23ab398",Review,"Final","",Scopus,2-s2.0-85094679291
"Cabelin, J.D., Alpano, P.V., Pedrasa, J.R.","57221945885;57201298135;24462196100;","SVM-based Detection of False Data Injection in Intelligent Transportation System",2021,"International Conference on Information Networking","2021-January",,"9333942","279","284",,,"10.1109/ICOIN50884.2021.9333942","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100754823&doi=10.1109%2fICOIN50884.2021.9333942&partnerID=40&md5=83cdda210ab3f6466eca68c6497284a6",Conference Paper,"Final","",Scopus,2-s2.0-85100754823
"Liu, Y., Xue, H., Zhuang, W., Wang, F., Xu, L., Yin, G.","57192570761;57224167845;56338038400;57315251100;57191205293;24781523700;","CT2-MDS: Cooperative trust-aware tolerant misbehaviour detection system for connected and automated vehicles",2021,"IET Intelligent Transport Systems",,,,"","",,,"10.1049/itr2.12139","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119678740&doi=10.1049%2fitr2.12139&partnerID=40&md5=b84c10f9751eefb0c64de349b11a8d42",Article,"Article in Press","All Open Access, Gold",Scopus,2-s2.0-85119678740
"Alsharif, M.H., Kelechi, A.H., Khan, I., Albreem, M.A., Jahid, A., Mavromoustakis, C.X., Mastorakis, G., Pallis, E., Markakis, E.K.","55968967000;54386560100;57259975100;42061067000;36988077400;6602882785;13205568300;6508217585;7006033121;","Machine learning algorithms for smart data analysis in the Internet of things: An overview",2021,"Intelligent Wireless Communications",,,,"307","327",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114971341&partnerID=40&md5=e7466c832b053a7ad9331f0421574e4c",Book Chapter,"Final","",Scopus,2-s2.0-85114971341
"Bangui, H., Ge, M., Buhnova, B.","56607423200;36666262900;35781665200;","A hybrid machine learning model for intrusion detection in VANET",2021,"Computing",,,,"","",,,"10.1007/s00607-021-01001-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113812633&doi=10.1007%2fs00607-021-01001-0&partnerID=40&md5=6af4acff9e1641fe6def77e8f354fc3e",Article,"Article in Press","",Scopus,2-s2.0-85113812633
"Sultan, S., Javaid, Q., Malik, A.J., Al-Turjman, F., Attique, M.","57225146254;14631940000;18135128000;20336944100;55755354900;","Collaborative-trust approach toward malicious node detection in vehicular ad hoc networks",2021,"Environment, Development and Sustainability",,,,"","",,2,"10.1007/s10668-021-01632-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109313081&doi=10.1007%2fs10668-021-01632-5&partnerID=40&md5=2177c021a6010a1f797994da43c055a9",Article,"Article in Press","",Scopus,2-s2.0-85109313081
"Bangui, H., Buhnova, B.","56607423200;35781665200;","Recent advances in machine-learning driven intrusion detection in transportation: Survey",2021,"Procedia Computer Science","184",,,"877","886",,1,"10.1016/j.procs.2021.04.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106748750&doi=10.1016%2fj.procs.2021.04.014&partnerID=40&md5=21f06550394b252cb51d9ffdc1fa0bd0",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85106748750
"Sultana, R., Grover, J., Tripathi, M.","57200531922;36536965300;56038579300;","Security of SDN-based vehicular ad hoc networks: State-of-the-art and challenges",2021,"Vehicular Communications","27",,"100284","","",,4,"10.1016/j.vehcom.2020.100284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090063956&doi=10.1016%2fj.vehcom.2020.100284&partnerID=40&md5=1c05137bbe178b4807c39cdc4d0146a6",Review,"Final","",Scopus,2-s2.0-85090063956
"Dibaei, M., Zheng, X., Jiang, K., Abbas, R., Liu, S., Zhang, Y., Xiang, Y., Yu, S.","47460896700;57223122043;56723438700;57202867513;56195519800;54890205800;57114147900;55741361200;","Attacks and defences on intelligent connected vehicles: a survey",2020,"Digital Communications and Networks","6","4",,"399","421",,11,"10.1016/j.dcan.2020.04.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086590038&doi=10.1016%2fj.dcan.2020.04.007&partnerID=40&md5=330abd5e84ac97ac7937d5c792dacaba",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85086590038
"Katiyar, A., Singh, D., Yadav, R.S.","57217215941;57214416369;12039926400;","State-of-the-art approach to clustering protocols in VANET: a survey",2020,"Wireless Networks","26","7",,"5307","5336",,14,"10.1007/s11276-020-02392-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086786805&doi=10.1007%2fs11276-020-02392-2&partnerID=40&md5=3df9b9e0cb4af074f00aea3006402af3",Article,"Final","",Scopus,2-s2.0-85086786805
"Jinarajadasa, G.M., Liyange, S.R.","57205441527;57221919851;","A survey on applying machine learning to enhance trust in mobile adhoc networks",2020,"Proceedings - International Research Conference on Smart Computing and Systems Engineering, SCSE 2020",,,"9313021","195","201",,,"10.1109/SCSE49731.2020.9313021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100596731&doi=10.1109%2fSCSE49731.2020.9313021&partnerID=40&md5=a2cb9d33e5a13e019d8739a3f79a5770",Conference Paper,"Final","",Scopus,2-s2.0-85100596731
"Ghaleb, F.A., Saeed, F., Al-Sarem, M., Al-Rimy, B.A.S., Boulila, W., Eljialy, A.E.M., Aloufi, K., Alazab, M.","55985339600;54892561900;43461087100;57200494876;37088273900;57215185852;56755425400;36661792200;","Misbehavior-aware on-demand collaborative intrusion detection system using distributed ensemble learning for VANET",2020,"Electronics (Switzerland)","9","9","1411","1","17",,5,"10.3390/electronics9091411","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092523015&doi=10.3390%2felectronics9091411&partnerID=40&md5=5efff94f9d8d6aba2da2bd946ebbb82d",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85092523015
"Liang, J., Lin, Q., Chen, J., Zhu, Y.","57192410241;35113516400;35236127200;55648689000;","A Filter Model Based on Hidden Generalized Mixture Transition Distribution Model for Intrusion Detection System in Vehicle Ad Hoc Networks",2020,"IEEE Transactions on Intelligent Transportation Systems","21","7","8734149","2707","2722",,5,"10.1109/TITS.2019.2905415","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087613055&doi=10.1109%2fTITS.2019.2905415&partnerID=40&md5=dc389d4d85b451f2a1af4b976094d304",Article,"Final","",Scopus,2-s2.0-85087613055
"Fatemidokht, H., Kuchaki Rafsanjani, M.","56481684800;24528923500;","QMM-VANET: An efficient clustering algorithm based on QoS and monitoring of malicious vehicles in vehicular ad hoc networks",2020,"Journal of Systems and Software","165",,"110561","","",,10,"10.1016/j.jss.2020.110561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081114220&doi=10.1016%2fj.jss.2020.110561&partnerID=40&md5=6c217dffabaf92def20216b3069f8cfd",Article,"Final","",Scopus,2-s2.0-85081114220
"Zhou, M., Han, L., Lu, H., Fu, C.","57202471320;12802563500;55729823300;57199741768;","Distributed collaborative intrusion detection system for vehicular Ad Hoc networks based on invariant",2020,"Computer Networks","172",,"107174","","",,14,"10.1016/j.comnet.2020.107174","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080926549&doi=10.1016%2fj.comnet.2020.107174&partnerID=40&md5=04153bf7cb54d539951018bf00c78d61",Article,"Final","",Scopus,2-s2.0-85080926549
"Islabudeen, M., Kavitha Devi, M.K.","56884587900;26324925300;","A Smart Approach for Intrusion Detection and Prevention System in Mobile Ad Hoc Networks Against Security Attacks",2020,"Wireless Personal Communications","112","1",,"193","224",,14,"10.1007/s11277-019-07022-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077606323&doi=10.1007%2fs11277-019-07022-5&partnerID=40&md5=7cb5f8637dcd3593d91285055da082cb",Article,"Final","",Scopus,2-s2.0-85077606323
"Park, B.K., Kang, G.-H., Son, H.S., Jeon, B., Kim, R.Y.C.","56094922500;57216788117;55417697000;49861487700;27170050900;","Code visualization for performance improvement of java code for controlling smart traffic system in the smart city",2020,"Applied Sciences (Switzerland)","10","8","2880","","",,,"10.3390/APP10082880","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084645981&doi=10.3390%2fAPP10082880&partnerID=40&md5=7da864529862496d46b5a58cc652e8d8",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85084645981
"Alsharif, M.H., Mosier, W.A., Alomari, O.A., Yahya, K.","55968967000;57215613336;55353965600;57202966631;","Supervised machine learning for smart data analysis in internet of things environment: An overview",2020,"Journal of Theoretical and Applied Information Technology","98","4",,"672","683",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081339221&partnerID=40&md5=d0d4dfdf1593a902a7a32862eb19f190",Review,"Final","",Scopus,2-s2.0-85081339221
"Tang, F., Kawamoto, Y., Kato, N., Liu, J.","57192684949;55322329900;7403474407;40461843700;","Future Intelligent and Secure Vehicular Network Toward 6G: Machine-Learning Approaches",2020,"Proceedings of the IEEE","108","2","8926369","292","307",,156,"10.1109/JPROC.2019.2954595","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079598690&doi=10.1109%2fJPROC.2019.2954595&partnerID=40&md5=231ae71efbe322027ecf5199e68e60af",Article,"Final","",Scopus,2-s2.0-85079598690
"Malhi, A.K., Batra, S., Pannu, H.S.","56663163300;50860923900;57193135499;","Security of vehicular ad-hoc networks: A comprehensive survey",2020,"Computers and Security","89",,"101664","","",,25,"10.1016/j.cose.2019.101664","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075205355&doi=10.1016%2fj.cose.2019.101664&partnerID=40&md5=63ac6a6715fda46f4ab53bd8e4cc968b",Review,"Final","",Scopus,2-s2.0-85075205355
"Rahman, F.H., Shah Newaz, S.H., Au, T.W., Suhaili, W.S., Lee, G.M.","57191923988;25929478300;57205359898;57188866664;25927244300;","Off-Street Vehicular Fog for Catering Applications in 5G/B5G: A Trust-Based Task Mapping Solution and Open Research Issues",2020,"IEEE Access","8",,"9123902","117218","117235",,3,"10.1109/ACCESS.2020.3004738","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088664137&doi=10.1109%2fACCESS.2020.3004738&partnerID=40&md5=2d81442391599f870b4d9460067034d2",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85088664137
"Tao, Z., Huiling, L., Hu, F., Qiu, S., Cuiying, W.","57020593700;24472892500;23469669100;57203679667;57217176323;","A Model of High-Dimensional Feature Reduction Based on Variable Precision Rough Set and Genetic Algorithm in Medical Image",2020,"Mathematical Problems in Engineering","2020",,"7653946","","",,6,"10.1155/2020/7653946","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086628147&doi=10.1155%2f2020%2f7653946&partnerID=40&md5=b07eb84a6c5ff772d7cc69cdd8d23173",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85086628147
"Alsharif, M.H., Kelechi, A.H., Yahya, K., Chaudhry, S.A.","55968967000;54386560100;57202966631;55270209500;","Machine learning algorithms for smart data analysis in internet of things environment: Taxonomies and research trends",2020,"Symmetry","12","1","88","","",,26,"10.3390/SYM12010088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083439425&doi=10.3390%2fSYM12010088&partnerID=40&md5=ba79aba0b114a1219bda40aa80a2c266",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85083439425
"Ghaleb, F.A., Maarof, M.A., Zainal, A., Saleh Al-Rimy, B.A., Alsaeedi, A., Boulila, W.","55985339600;6507894298;6603913023;57200494876;57190300509;37088273900;","Ensemble-based hybrid context-aware misbehavior detection model for vehicular ad hoc network",2019,"Remote Sensing","11","23","2852","","",,4,"10.3390/rs11232852","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076532469&doi=10.3390%2frs11232852&partnerID=40&md5=16c459a4f8d9c91479c28474fccdbf26",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85076532469
"Ghaleb, F.A., Aizaini Maarof, M., Zainal, A., Rassam, M.A., Saeed, F., Alsaedi, M.","55985339600;57211134648;6603913023;54956011900;54892561900;57192215779;","Context-aware data-centric misbehaviour detection scheme for vehicular ad hoc networks using sequential analysis of the temporal and spatial correlation of the consistency between the cooperative awareness messages",2019,"Vehicular Communications","20",,"100186","","",,13,"10.1016/j.vehcom.2019.100186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072754011&doi=10.1016%2fj.vehcom.2019.100186&partnerID=40&md5=0277fd257c235da838bd0631e85c4c3e",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85072754011
"Goncalves, F., Ribeiro, B., Gama, O., Santos, A., Costa, A., Dias, B., MacEdo, J., Nicolau, M.J.","57193414087;57202490601;24450322700;57206249809;14021196500;21833542900;57220466401;57212456832;","A Systematic Review on Intelligent Intrusion Detection Systems for VANETs",2019,"International Congress on Ultra Modern Telecommunications and Control Systems and Workshops","2019-October",,"8970942","","",,4,"10.1109/ICUMT48472.2019.8970942","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079097602&doi=10.1109%2fICUMT48472.2019.8970942&partnerID=40&md5=a8d3de8578507fd544336e994920eed2",Conference Paper,"Final","",Scopus,2-s2.0-85079097602
"Arif, M., Wang, G., Zakirul Alam Bhuiyan, M., Wang, T., Chen, J.","56452459100;56039387600;57205499884;55866537800;57202205672;","A survey on security attacks in VANETs: Communication, applications and challenges",2019,"Vehicular Communications","19",,"100179","","",,60,"10.1016/j.vehcom.2019.100179","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072211417&doi=10.1016%2fj.vehcom.2019.100179&partnerID=40&md5=0c5650efe995e0c8ad040039768f26c9",Review,"Final","",Scopus,2-s2.0-85072211417
"Garg, S., Kaur, K., Kaddoum, G., Gagnon, F., Kumar, N., Han, Z.","55601765300;56524077100;24587843100;7004919623;57206866080;55767186700;","Sec-IoV: A multi-stage anomaly detection scheme for internet of vehicles",2019,"Proceedings of the International Symposium on Mobile Ad Hoc Networking and Computing (MobiHoc)",,,,"37","42",,7,"10.1145/3331052.3332476","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074167870&doi=10.1145%2f3331052.3332476&partnerID=40&md5=df9809ca47c266641bf25d4282808e4b",Conference Paper,"Final","",Scopus,2-s2.0-85074167870
"Liang, J., Chen, J., Zhu, Y., Yu, R.","57192410241;35236127200;55648689000;57213980384;","A novel Intrusion Detection System for Vehicular Ad Hoc Networks (VANETs) based on differences of traffic flow and position",2019,"Applied Soft Computing Journal","75",,,"712","727",,30,"10.1016/j.asoc.2018.12.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058542575&doi=10.1016%2fj.asoc.2018.12.001&partnerID=40&md5=a2b33895b5dfbd0d3c34e2b5c984683a",Article,"Final","",Scopus,2-s2.0-85058542575
"Rahman, F.H., Wan, A.T., Newaz, S.H.S., Suhaili, W.S.","57191923988;57205359898;25929478300;57188866664;","Vehicular clustering: Fog paradigm and recent advances",2019,"International Conference on Communication Technology Proceedings, ICCT","2019-October",,"8600255","468","472",,,"10.1109/ICCT.2018.8600255","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061487222&doi=10.1109%2fICCT.2018.8600255&partnerID=40&md5=3d1301d86f2c6bcce87b0d5c1abeb547",Conference Paper,"Final","",Scopus,2-s2.0-85061487222
"Ghaleb, F.A., Aizaini Maarof, M., Zainal, A., Al-Rimy, B.A.S., Saeed, F., Al-Hadhrami, T.","55985339600;57211134648;6603913023;57200494876;54892561900;55243400100;","Hybrid and Multifaceted Context-Aware Misbehavior Detection Model for Vehicular Ad Hoc Network",2019,"IEEE Access","7",,"8888176","159119","159140",,9,"10.1109/ACCESS.2019.2950805","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076575056&doi=10.1109%2fACCESS.2019.2950805&partnerID=40&md5=9625d87a418324f6d5018d47eb010e20",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85076575056
"Rahman, S.A., Mourad, A., El Barachi, M.","57201798726;9275987400;13408062900;","An Infrastructure-Assisted Crowdsensing Approach for On-Demand Traffic Condition Estimation",2019,"IEEE Access","7",,"8895966","163323","163340",,5,"10.1109/ACCESS.2019.2953002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075785330&doi=10.1109%2fACCESS.2019.2953002&partnerID=40&md5=38f4dcc497dae40a2904801dcbc37297",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85075785330
"Yang, J., Zhou, C., Tian, Y.-C., Yang, S.-H.","57188570367;23983676100;57203032002;35726316400;","A Software-Defined Security Approach for Securing Field Zones in Industrial Control Systems",2019,"IEEE Access","7",,"8744558","87002","87016",,3,"10.1109/ACCESS.2019.2924800","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069780040&doi=10.1109%2fACCESS.2019.2924800&partnerID=40&md5=a5d8aa8ac3b1987873b8388d60b9f83d",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85069780040
"Wang, X., Jiang, J., Zhao, S., Bai, L.","35075334400;57201154149;57193455675;57200128115;","A fair blind signature scheme to revoke malicious vehicles in VANETs",2019,"Computers, Materials and Continua","58","1",,"249","262",,15,"10.32604/cmc.2019.04088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064811939&doi=10.32604%2fcmc.2019.04088&partnerID=40&md5=e4f092fdb5d8339f3f38d4e54b6beb29",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85064811939
"Ishtiaq, A., Ahmed, S., Khan, M.F., Aadil, F., Maqsood, M., Khan, S.","57202837300;57214723095;57207794896;53983838100;57197810097;35776320200;","Intelligent clustering using moth flame optimizer for vehicular ad hoc networks",2019,"International Journal of Distributed Sensor Networks","15","1",,"","",,14,"10.1177/1550147718824460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060863308&doi=10.1177%2f1550147718824460&partnerID=40&md5=1aa9c61e077a1f86f087c4e627c2ede8",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85060863308
"Liang, J., Ma, M., Sadiq, M., Yeung, K.-H.","57192410241;7202444897;57213764623;55513883500;","A filter model for intrusion detection system in Vehicle Ad Hoc Networks: A hidden Markov methodology",2019,"Knowledge-Based Systems","163",,,"611","623",,18,"10.1016/j.knosys.2018.09.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053861519&doi=10.1016%2fj.knosys.2018.09.022&partnerID=40&md5=978b95f56e5600babed7a87d33b1df1c",Article,"Final","",Scopus,2-s2.0-85053861519
"Mathew, N., Uma, V.","57205444152;46662052000;","VANET security -Analysis and survey",2018,"2018 International Conference on Control, Power, Communication and Computing Technologies, ICCPCCT 2018",,,"8574224","100","106",,3,"10.1109/ICCPCCT.2018.8574224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060006983&doi=10.1109%2fICCPCCT.2018.8574224&partnerID=40&md5=4d7db7f13bbdcb923b17513225b52541",Conference Paper,"Final","",Scopus,2-s2.0-85060006983
"Haydari, A., Yilmaz, Y.","57205544415;24170581600;","Real-Time Detection and Mitigation of DDoS Attacks in Intelligent Transportation Systems",2018,"IEEE Conference on Intelligent Transportation Systems, Proceedings, ITSC","2018-November",,"8569698","157","163",,12,"10.1109/ITSC.2018.8569698","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060496112&doi=10.1109%2fITSC.2018.8569698&partnerID=40&md5=56a16df0b30c89327a212b2afdcc186d",Conference Paper,"Final","",Scopus,2-s2.0-85060496112
"Abusitta, A., Bellaiche, M., Dagenais, M.","22933740900;25031178700;7102288193;","An SVM-based framework for detecting DoS attacks in virtualized clouds under changing environment",2018,"Journal of Cloud Computing","7","1","9","","",,23,"10.1186/s13677-018-0109-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045509330&doi=10.1186%2fs13677-018-0109-4&partnerID=40&md5=48d22d51fb907a845d8d247ae055d4e3",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85045509330
"Rajbahadur, G.K., Malton, A.J., Walenstein, A., Hassan, A.E.","57195249851;6602323251;6507195786;7402686972;","A Survey of Anomaly Detection for Connected Vehicle Cybersecurity and Safety",2018,"IEEE Intelligent Vehicles Symposium, Proceedings","2018-June",,"8500383","421","426",,28,"10.1109/IVS.2018.8500383","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056777838&doi=10.1109%2fIVS.2018.8500383&partnerID=40&md5=a00daf3df0df82f60ca37150301160a5",Conference Paper,"Final","",Scopus,2-s2.0-85056777838
"Sun, J., Wang, W., Da, Q., Kou, L., Zhao, G., Zhang, L., Han, Q.","56683220200;57197827438;57197836544;57198236267;57200305535;56681766700;23389204600;","An intrusion detection based on Bayesian game theory for UAV network",2018,"International Conference on Mobile Multimedia Communications (MobiMedia)","2018-June",,,"","",,2,"10.4108/eai.21-6-2018.2277054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061543229&doi=10.4108%2feai.21-6-2018.2277054&partnerID=40&md5=536e26295a0ae7a3741d6b9482ac9bca",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85061543229
"Tang, T.-L., Guan, Q., Wu, Y.-R.","57200394913;55671678500;57200854276;","Support vector machine incremental learning triggered by wrongly predicted samples",2018,"Optoelectronics Letters","14","3",,"232","235",,2,"10.1007/s11801-018-7254-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046531588&doi=10.1007%2fs11801-018-7254-3&partnerID=40&md5=d01c049ba838db93ee4ec569f194ae5d",Article,"Final","",Scopus,2-s2.0-85046531588
"Shi, Y., Wu, H.","57202074816;56429999400;","Data aggregation for road functionality detection based on machine leaning and vanet",2018,"Journal of Computers (Taiwan)","29","2",,"161","173",,1,"10.3966/199115992018042902016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047061278&doi=10.3966%2f199115992018042902016&partnerID=40&md5=591d08f58d7bd5d5d84c567f85e93ee0",Article,"Final","",Scopus,2-s2.0-85047061278
