Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13,"J Wang, A Liu, S Zhang","Key parameters decision for cloud computing: Insights from a multiple game model",2017,"Concurrency and Computation …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.4200","https://scholar.google.com/scholar?cites=16273356375350631321&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-18 20:44:32","","10.1002/cpe.4200","","",,,,,13,3.25,4,3,4,"In service‐oriented cloud computing systems (CCSs), the aim of cloud service organizers (CSOs) is to achieve maximum profit by collecting metadata with low cost from big data reporters (BDRs) and to provide advanced services to customers at a high price. In these …","","https://scholar.google.com/scholar?q=related:mdscSGeT1uEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
13,"FLS Chua, NN Vasnani, LBM Pacio, ...","A Stackelberg game in multi-period planning of make-to-order production system across the supply chain",2018,"Journal of manufacturing …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0278612518300049","https://scholar.google.com/scholar?cites=8497902101254154204&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-18 20:44:32","","","","",,,,,13,4.33,3,4,3,"Mass customization becomes an emerging trend in numerous industries. With this, firms are adopting the make-to-order production strategy to allow ease of producing product varieties. This study adopts a game theoretic approach in analyzing a supply chain which consists of a …","","https://scholar.google.com/scholar?q=related:3KdM8e-c7nUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,"M Taghavi, J Bentahar, H Otrok","Two-stage game theoretical framework for IaaS market share dynamics",2020,"Future Generation Computer Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X18324531","https://scholar.google.com/scholar?cites=2383654868666036659&as_sdt=2005&sciodt=0,5&hl=en",14,"2021-12-18 20:44:32","","","","",,,,,11,11.00,4,3,1,"In this paper, we consider the problem of cloud market share among Infrastructure as a Service (IaaS) providers in a competitive setting. The public cloud market is dominated by few large providers, which prevents a healthy competition that would benefit the end-users …","https://wvvw.monataghavi.com/download/pub/2019-08-fgcs-gamemarketshare.pdf","https://scholar.google.com/scholar?q=related:szH4UXlxFCEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,"RA Agis, S Gottifredi, AJ García","An event-driven behavior trees extension to facilitate non-player multi-agent coordination in video games",2020,"Expert Systems with Applications","Elsevier","https://www.sciencedirect.com/science/article/pii/S0957417420302815","https://scholar.google.com/scholar?cites=17549049473225869365&as_sdt=2005&sciodt=0,5&hl=en",16,"2021-12-18 20:44:32","","","","",,,,,11,11.00,4,3,1,"In this paper, we extend behavior trees (BTs), a behavior creation method that is popular in the video game industry, with three new types of nodes that facilitate the design and implementation of non-player characters (NPCs) that need to coordinate with each other. We …","https://cs.uns.edu.ar/~ragis/Agis%20et%20al.%20(2020)%20-%20An%20event-driven%20behavior%20trees%20extension%20to%20facilitate%20non-player%20multi-agent%20coordination%20in%20video%20games.pdf","https://scholar.google.com/scholar?q=related:NUhiXYS_ivMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
9,"OA Wahab, J Bentahar, H Otrok, ...","I know you are watching me: Stackelberg-based adaptive intrusion detection strategy for insider attacks in the cloud",2017,"2017 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8029829/","https://scholar.google.com/scholar?cites=6680305223107353304&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-12-18 20:44:32","","","","",,,,,9,2.25,2,4,4,"Insider attacks in which misbehaving Virtual Machines (VMs) take part of the cloud system and learn about its internal vulnerabilities constitute a major threat against cloud resources and infrastructure. This demands setting up continuous and comprehensive security …","https://www.researchgate.net/profile/Omar-Wahab/publication/319637497_I_Know_You_Are_Watching_Me_Stackelberg-Based_Adaptive_Intrusion_Detection_Strategy_for_Insider_Attacks_in_the_Cloud/links/59c5ea8b0f7e9bd2c00568e2/I-Know-You-Are-Watching-Me-Stackelberg-Based-Adaptive-Intrusion-Detection-Strategy-for-Insider-Attacks-in-the-Cloud.pdf","https://scholar.google.com/scholar?q=related:2BqA5jQ2tVwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"H Abualola, H Otrok, H Barada, M Al-Qutayri, ...","Matching game theoretical model for stable relay selection in a UAV-assisted internet of vehicles",2021,"Vehicular …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214209620300619","https://scholar.google.com/scholar?cites=8303265468335276348&as_sdt=2005&sciodt=0,5&hl=en",15,"2021-12-18 20:44:32","","","","",,,,,8,8.00,2,5,1,"This paper tackles the problem of selecting stable relays for Optimized Link State Routing protocol (OLSR) in urban Internet of Vehicles (IoV) in the presence of Unmanned Aerial Vehicles (UAVs). With the evolution of Internet of Things (IoT), IoV emerged from the …","https://www.researchgate.net/profile/Huda-Abualola-2/publication/344319247_Matching_game_theoretical_model_for_stable_relay_selection_in_a_UAV-assisted_internet_of_vehicles/links/5f84202b299bf1b53e20d460/Matching-game-theoretical-model-for-stable-relay-selection-in-a-UAV-assisted-internet-of-vehicles.pdf","https://scholar.google.com/scholar?q=related:PEHka_MfO3MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"C Zhong, H Yang, Z Liu, J Wu","Stability of replicator dynamics with bounded continuously distributed time delay",2020,"Mathematics","mdpi.com","https://www.mdpi.com/666430","https://scholar.google.com/scholar?cites=17096865210752012507&as_sdt=2005&sciodt=0,5&hl=en",17,"2021-12-18 20:44:32","","","","",,,,,5,5.00,1,4,1,"In this paper, we consider evolutionary games and construct a model of replicator dynamics with bounded continuously distributed time delay. In many circumstances, players interact simultaneously while impacts of their choices take place after some time, which implies a …","https://www.mdpi.com/2227-7390/8/3/431/htm","https://scholar.google.com/scholar?q=related:25Cbe1NERO0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"H Godhrawala, R Sridaran","A survey of game based strategies of resource allocation in cloud computing",2016,"2016 3rd International Conference …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7724925/","https://scholar.google.com/scholar?cites=1288456157125092060&as_sdt=2005&sciodt=0,5&hl=en",18,"2021-12-18 20:44:32","","","","",,,,,3,0.60,2,2,5,"Cloud is an environment which provides services and resources to enterprises on the go. It provides various resources like CPU, Memory, Storage, Network Bandwidth, most importantly some service to the subscriber. These services may be Infrastructure as a …","","https://scholar.google.com/scholar?q=related:3CIbYgyE4REJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"F Eltayesh, J Bentahar, R Mizouni, H Otrok, ...","Refined game-theoretic approach to improve authenticity of outsourced databases",2017,"Journal of Ambient …","Springer","https://link.springer.com/article/10.1007/s12652-017-0448-x","https://scholar.google.com/scholar?cites=2785729779848488958&as_sdt=2005&sciodt=0,5&hl=en",19,"2021-12-18 20:44:32","","10.1007/s12652-017-0448-x","","",,,,,3,0.75,1,5,4,"The verifiable database (VDB) model is characterized by the fact that the database owner, a computationally weak client, delegates the database management to a database service provider on the cloud, which is considered untrusted third party. In this model, users can …","","https://scholar.google.com/scholar?q=related:_qcYsHnmqCYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"L Arboleda-Castro, O Cedeño-Fuentes, ...","Un enfoque computacional evolutivo para problemas de competencia de Stackelberg dinámicos",2016,"Enfoque …","scielo.senescyt.gob.ec","http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S1390-65422016000200010","https://scholar.google.com/scholar?cites=11830755981663742250&as_sdt=2005&sciodt=0,5&hl=en",20,"2021-12-18 20:44:32","HTML","","","",,,,,2,0.40,1,3,5,"Los modelos de competencia de Stackelberg agrupan a una gran familia de problemas de decisión económicos provenientes de la Teoría de Juego, en los que el objetivo principal es encontrar las estrategias óptimas entre un par de competidores teniendo en cuenta una …","http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S1390-65422016000200010","https://scholar.google.com/scholar?q=related:KillH-JJL6QJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"EV Goudarzi, M Houshmand, OF Valilai, ...","Equilibrial service composition model in Cloud manufacturing (ESCM) based on non-cooperative and cooperative game theory for healthcare service …",2021,"PeerJ Computer …","peerj.com","https://peerj.com/articles/cs-410/","https://scholar.google.com/scholar?cites=5722903324055796595&as_sdt=2005&sciodt=0,5&hl=en",22,"2021-12-18 20:44:32","HTML","","","",,,,,2,2.00,1,4,1,"Industry 4.0 is the digitalization of the manufacturing systems based on Information and Communication Technologies (ICT) for developing a manufacturing system to gain efficiency and improve productivity. Cloud Manufacturing (CM) is a paradigm of Industry 4.0. Cloud …","https://peerj.com/articles/cs-410/","https://scholar.google.com/scholar?q=related:c3s_gkDWa08J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"L Mokdad, JM Fourneau, A Abdelli, ...","Performance evaluation of a solution for composite service selection problem with multiple consumers",2021,"… Modelling Practice and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1569190X21000022","https://scholar.google.com/scholar?cites=10468307236463004582&as_sdt=2005&sciodt=0,5&hl=en",24,"2021-12-18 20:44:32","","","","",,,,,2,2.00,1,4,1,"In recent years, building business applications from independently developed services has become one of the current trends in service computing. To satisfy clients' requirements, service composition is performed to compose the various capabilities of available services …","https://www.researchgate.net/profile/A-Abdelli/publication/349875634_Performance_evaluation_of_a_solution_for_composite_service_selection_problem_with_multiple_consumers/links/604a5b21299bf1f5d83f7556/Performance-evaluation-of-a-solution-for-composite-service-selection-problem-with-multiple-consumers.pdf","https://scholar.google.com/scholar?q=related:pksH1fflRpEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"EV Goodarzi, M Houshmand, OF Valilai, ...","Manufacturing Cloud Service Composition Based on the Non-Cooperative and Cooperative Game Theory",2020,"2020 IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9309921/","https://scholar.google.com/scholar?cites=5935600894063337041&as_sdt=2005&sciodt=0,5&hl=en",35,"2021-12-18 20:44:32","","","","",,,,,2,2.00,1,4,1,"The production environment and its related supply chain have faced with enormous changes by Industry 4.0 (I4. 0) emergence. Cloud Manufacturing (CM) is one of the paradigms of I4. 0. Composition of Manufacturing Cloud Service (MCS) is an approach for …","","https://scholar.google.com/scholar?q=related:Ud4io5B9X1IJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"F Eltayesh, J Bentahar","Verifiable outsourced database in the cloud using game theory",2017,"Proceedings of the Symposium on Applied …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3019612.3019628","https://scholar.google.com/scholar?cites=4352117378486601652&as_sdt=2005&sciodt=0,5&hl=en",21,"2021-12-18 20:44:32","","10.1145/3019612.3019628","","",,,,,1,0.25,1,2,4,"In the verifiable database (VDB) model, a computationally weak client (database owner) delegates his database management to a database service provider on the cloud, which is considered untrusted third party, while users can query the data and verify the integrity of …","","https://scholar.google.com/scholar?q=related:tId_fbLTZTwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"E Khosrowshahi‐Asl, J Bentahar, ...","Dynamic formation of service communities in the cloud under distribution and incomplete information settings",2020,"Concurrency and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.4338","https://scholar.google.com/scholar?cites=4389803179461516528&as_sdt=2005&sciodt=0,5&hl=en",23,"2021-12-18 20:44:32","","10.1002/cpe.4338","","",,,,,1,1.00,0,3,1,"Communities that gather functionally identical or complementary cloud services aim to provide better visibility, efficiency, and market share. This paper investigates the issue of forming these communities in distributed decision‐making settings under incomplete …","","https://scholar.google.com/scholar?q=related:8Byvybu26zwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"OP Cedeño-Fuentes¹, L Arboleda-Castro, ...","Optimization of non-stationary Stackelberg models using a self-adaptive evolutionary algorithm",2017,"TecnoLógicas","scielo.org.co","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-77992017000200013","https://scholar.google.com/scholar?cites=17299258356889998947&as_sdt=2005&sciodt=0,5&hl=en",25,"2021-12-18 20:44:32","HTML","","","",,,,,1,0.25,0,3,4,"Los modelos de Juegos de Stackelberg engloban una importante familia de problemas de la Teoría de Juegos, que encuentra aplicaciones directas en economía. El principal objetivo es encontrar un equilibrio óptimo entre las decisiones que pueden tomar dos actores que se …","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-77992017000200013","https://scholar.google.com/scholar?q=related:Y9Yi-NFPE_AJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"M Guijarro-García, A Carrilero-Castillo, ...","Blue Ocean Strategy as a Framework for Business Innovation in China and Spain: A Summative Content Analysis of Innovation Initiatives and Value Propositions",2020,"… , Value Creation, and …","igi-global.com","https://www.igi-global.com/chapter/blue-ocean-strategy-as-a-framework-for-business-innovation-in-china-and-spain/240367","https://scholar.google.com/scholar?cites=10317036913986687324&as_sdt=2005&sciodt=0,5&hl=en",27,"2021-12-18 20:44:32","","","","",,,,,1,1.00,0,3,1,"The authors conducted summative content analysis on reported innovation initiatives indexed in the Web of Science for Spain and China from 2015 to 2019 to identify Blue Ocean Strategy dimensions and to analyze the national innovation systems of both countries …","","https://scholar.google.com/scholar?q=related:XNHESGl6LY8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"H Abualola, H Otrok","Stable coalitions for urban-VANET: A hedonic game approach",2021,"Vehicular Communications","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214209621000243","https://scholar.google.com/scholar?cites=17984015525642186844&as_sdt=2005&sciodt=0,5&hl=en",28,"2021-12-18 20:44:32","","","","",,,,,1,1.00,1,2,1,"This paper tackles the problem of improving the coalitions' stability for Quality of Service Optimized Link State Routing (QoS-OLSR) protocol in urban Vehicular Ad-hoc Networks (VANETs). VANETs have introduced communication among vehicles for the Intelligent …","https://www.researchgate.net/profile/Huda-Abualola-2/publication/350402327_Stable_coalitions_for_urban-VANET_A_hedonic_game_approach/links/6062c935299bf17367795d6c/Stable-coalitions-for-urban-VANET-A-hedonic-game-approach.pdf","https://scholar.google.com/scholar?q=related:XDADUdYOlPkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"AS Bataineh, J Bentahar, R Mizouni, OA Wahab, ...","Cloud computing as a platform for monetizing data services: A two-sided game business model",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2104.12762","https://scholar.google.com/scholar?cites=1242432404122532176&as_sdt=2005&sciodt=0,5&hl=en",29,"2021-12-18 20:44:32","","","","",,,,,1,1.00,0,5,1,"With the unprecedented reliance on cloud computing as the backbone for storing today's big data, we argue in this paper that the role of the cloud should be reshaped from being a passive virtual market to become an active platform for monetizing the big data through …","https://arxiv.org/pdf/2104.12762","https://scholar.google.com/scholar?q=related:UHkoWbABPhEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"O Omoruyi, E Chinomona","Modeling the Factors that Influence Employee Attitude and Service Delivery Behavior among Higher Education Professionals",2016,"Journal of Economics and …","ojs.amhinternational.com","https://ojs.amhinternational.com/index.php/jebs/article/view/1439","https://scholar.google.com/scholar?cites=7140515272237330265&as_sdt=2005&sciodt=0,5&hl=en",37,"2021-12-18 20:44:32","","","","",,,,,1,0.20,1,2,5,"Good and well calculated service delivery is very essential for the smooth running of institutions and for life long learning of students. Looking at factors that lead to employee attitude and service delivery bevaviour helps the higher education professionals to build a …","https://ojs.amhinternational.com/index.php/jebs/article/download/1439/1324","https://scholar.google.com/scholar?q=related:WS_12s40GGMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"J Wang, H Chen, R Jiang, X Li, Z Li","Fast Algorithms for Stackelberg Prediction Game with Least Squares Loss",2021,"arXiv preprint arXiv:2105.05531","arxiv.org","https://arxiv.org/abs/2105.05531","",26,"2021-12-18 20:44:32","","","","",,,,,0,0.00,0,5,1,"The Stackelberg prediction game (SPG) has been extensively used to model the interactions between the learner and data provider in the training process of various machine learning algorithms. Particularly, SPGs played prominent roles in cybersecurity applications, such as …","https://arxiv.org/pdf/2105.05531","https://scholar.google.com/scholar?q=related:1iBYPNGsZCMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"OP Cedeño-Fuentes¹, L Arboleda-Castro, ...","Optimización de modelos de Stackelberg no estacionarios mediante un algoritmo evolutivo auto-adaptativo",2017,"TecnoLógicas","scielo.org.co","http://www.scielo.org.co/scielo.php?pid=S0123-77992017000200013&script=sci_abstract&tlng=en","",30,"2021-12-18 20:44:32","","","","",,,,,0,0.00,0,3,4,"Abstract CEDENO-FUENTES¹, Olga P.; ARBOLEDA-CASTRO, Lorena; JACHO-SANCHEZ, Iván and NOVOA-HERNANDEZ, Pavel. Optimization of non-stationary Stackelberg models using a self-adaptive evolutionary algorithm. TecnoL.[online]. 2017, vol. 20, n. 39, pp. 187 …","http://www.scielo.org.co/pdf/teclo/v20n39/v20n39a13.pdf","https://scholar.google.com/scholar?q=related:87j8W9u2rzEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M Taghavi","Strategic and Blockchain-based Market Decisions for Cloud Computing",2021,"","spectrum.library.concordia.ca","https://spectrum.library.concordia.ca/id/eprint/988355/","",31,"2021-12-18 20:44:32","","","","",,,,,0,0.00,0,1,1,"The cloud computing market has been in the center of attention for years where cloud providers strive to survive by either competition or cooperation. Some cloud providers choose to compete in the market that is dominated by few large providers and try to …","https://spectrum.library.concordia.ca/id/eprint/988355/1/Taghavi_PhD_F2021.pdf",""
0,"F Eltayesh","Verifiable Outsourced Database Model: A Game-Theoretic Approach",2017,"","spectrum.library.concordia.ca","https://spectrum.library.concordia.ca/982103/1/Eltayesh_MASc_S2017.pdf","",32,"2021-12-18 20:44:32","PDF","","","",,,,,0,0.00,0,1,4,"In the verifiable database (VDB) model, a computationally weak client (database owner) delegates his database management to a database service provider on the cloud, which is considered untrusted third party, while users can query the data and verify the integrity of …","https://spectrum.library.concordia.ca/982103/1/Eltayesh_MASc_S2017.pdf","https://scholar.google.com/scholar?q=related:mbRjhmr-I_8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"O Abdul Wahad, J Bentahar, H Otrok, A Mourad","Towards trustworthy multi-cloud services communities",2016,"","laur.lau.edu.lb","https://laur.lau.edu.lb:8443/xmlui/handle/10725/5184","",33,"2021-12-18 20:44:32","","","","",,,,,0,0.00,0,4,5,"The prominence of cloud computing led to unprecedented proliferation in the number of Web services deployed in cloud data centers. In parallel, service communities have gained recently increasing interest due to their ability to facilitate discovery, composition, and …","https://laur.lau.edu.lb:8443/xmlui/bitstream/handle/10725/5184/%28Postprint%29%20Towards.pdf?sequence=3&isAllowed=y","https://scholar.google.com/scholar?q=related:rnU2khlgke8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
