Cites,Authors,Title,Publisher,Year,ArticleURL,Source,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
30,"T Dbouk, A Mourad, H Otrok, H Tout, ...",A novel ad-hoc mobile edge cloud offering security services through intelligent resource-aware offloading,ieeexplore.ieee.org,2019,https://ieeexplore.ieee.org/abstract/document/8823954/,IEEE Transactions on …,https://scholar.google.com/scholar?cites=5805424266565913959&as_sdt=2005&sciodt=2007&hl=en,11,2021-12-18 16:37,,,,,,,,,30,15,6,5,2,"While the usage of smart devices is increasing, security attacks and malware affecting such terminals are briskly evolving as well. Mobile security suites exist to defend devices against malware and other intrusions. However, they require extensive resources not continuously …",https://laur.lau.edu.lb:8443/xmlui/bitstream/handle/10725/12695/%28Postprint%29%20A%20Novel.pdf?sequence=2&isAllowed=y,https://scholar.google.com/scholar?q=related:Zw0Yq5wCkVAJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
32,"OA Wahab, J Bentahar, H Otrok, ...",Resource-aware detection and defense system against multi-type attacks in the cloud: Repeated bayesian stackelberg game,ieeexplore.ieee.org,2019,https://ieeexplore.ieee.org/abstract/document/8675527/,IEEE Transactions on …,https://scholar.google.com/scholar?cites=11481231161669133215&as_sdt=2005&sciodt=2007&hl=en,12,2021-12-18 16:37,,,,,,,,,32,16,8,4,2,Cloud-based systems are subject to various attack types launched by Virtual Machines (VMs) manipulated by attackers having different goals and skills. The existing detection and defense mechanisms might be suitable for simple attack environments but become …,https://www.researchgate.net/profile/Omar-Wahab/publication/332053178_Resource-Aware_Detection_and_Defense_System_Against_Multi-Type_Attacks_in_the_Cloud_Repeated_Bayesian_Stackelberg_Game/links/5ce7a79592851c4eabba3729/Resource-Aware-Detection-and-Defense-System-Against-Multi-Type-Attacks-in-the-Cloud-Repeated-Bayesian-Stackelberg-Game.pdf,https://scholar.google.com/scholar?q=related:nyNvT-mGVZ8J:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
25,"H Sami, A Mourad",Dynamic on-demand fog formation offering on-the-fly IoT service deployment,ieeexplore.ieee.org,2020,https://ieeexplore.ieee.org/abstract/document/8947936/,IEEE Transactions on Network and Service …,https://scholar.google.com/scholar?cites=12896776782735051752&as_sdt=2005&sciodt=2007&hl=en,13,2021-12-18 16:37,,,,,,,,,25,25,13,2,1,"With the increasing number of IoT devices, fog computing has emerged, providing processing resources at the edge for the tremendous amount of sensed data and IoT computation. The advantage of the fog gets eliminated if it is not present near IoT devices …",https://www.academia.edu/download/64624911/DynamicOn-DemandFogFormationOfferingOn-The-FlyIoTServiceDeployment08947936.pdf,https://scholar.google.com/scholar?q=related:6IttYieO-rIJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
20,"A Hammoud, A Mourad, H Otrok, OA Wahab, ...",Cloud federation formation using genetic and evolutionary game theoretical models,Elsevier,2020,https://www.sciencedirect.com/science/article/pii/S0167739X19306995,Future Generation …,https://scholar.google.com/scholar?cites=12946791495277487391&as_sdt=2005&sciodt=2007&hl=en,14,2021-12-18 16:37,,,,,,,,,20,20,4,5,1,"This paper proposes an approach based on genetic algorithms and evolutionary game theory in order to study the problem of forming highly profitable federated clouds, while maintaining stability among the members in the presence of dynamic strategies (ie cloud …",http://icaangroup.com/wp-content/uploads/2021/06/2.pdf,https://scholar.google.com/scholar?q=related:HyUQGUU-rLMJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
27,"A Hammoud, H Sami, A Mourad, H Otrok, ...","AI, blockchain, and vehicular edge computing for smart and secure IoV: Challenges and directions",ieeexplore.ieee.org,2020,https://ieeexplore.ieee.org/abstract/document/9125437/,IEEE Internet of …,https://scholar.google.com/scholar?cites=16298884971321142998&as_sdt=2005&sciodt=2007&hl=en,15,2021-12-18 16:37,,,,,,,,,27,27,5,5,1,"Internet of Things (IoT) is turning into an undeniably developing point of discussion in both research and industrial fields. A key area that is witnessing a quick development in the utilization of IoT devices is the Internet of Vehicles (IoV), which allows information exchange …",https://www.researchgate.net/profile/Hani-Sami-2/publication/340999407_AI_Blockchain_and_Vehicular_Edge_Computing_for_Smart_and_Secure_IoV_Challenges_and_Directions/links/5ea92a3292851cb26762fb28/AI-Blockchain-and-Vehicular-Edge-Computing-for-Smart-and-Secure-IoV-Challenges-and-Directions.pdf,https://scholar.google.com/scholar?q=related:1q6MtoZFMeIJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
33,"SA Rahman, H Tout, C Talhi, A Mourad","Internet of things intrusion detection: Centralized, on-device, or federated learning?",ieeexplore.ieee.org,2020,https://ieeexplore.ieee.org/abstract/document/9183799/,IEEE Network,https://scholar.google.com/scholar?cites=2048934125186315176&as_sdt=2005&sciodt=2007&hl=en,16,2021-12-18 16:37,,,,,,,,,33,33,8,4,1,"With the ever increasing number of cyber-attacks, internet of Things (ioT) devices are being exposed to serious malware, attacks, and malicious activities alongside their development. While past research has been focused on centralized intrusion detection assuming the …",https://www.researchgate.net/profile/Sawsan-Abdulrahman/publication/344050052_Internet_of_Things_Intrusion_Detection_Centralized_On-Device_or_Federated_Learning/links/5f53607b92851c250b9295bc/Internet-of-Things-Intrusion-Detection-Centralized-On-Device-or-Federated-Learning.pdf,https://scholar.google.com/scholar?q=related:qPPnK7tGbxwJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
13,"H Sami, A Mourad, W El-Hajj",Vehicular-OBUs-as-on-demand-fogs: Resource and context aware deployment of containerized micro-services,ieeexplore.ieee.org,2020,https://ieeexplore.ieee.org/abstract/document/9032323/,IEEE/ACM Transactions on …,https://scholar.google.com/scholar?cites=17947123205686221738&as_sdt=2005&sciodt=2007&hl=en,17,2021-12-18 16:37,,,,,,,,,13,13,4,3,1,"Observing the headway in vehicular industry, new applications are developed demanding more resources. For instance, real-time vehicular applications require fast processing of the vast amount of generated data by vehicles in order to maintain service availability and …",https://www.researchgate.net/profile/Hani-Sami-2/publication/339852675_Vehicular-OBUs-As-On-Demand-Fogs_Resource_and_Context_Aware_Deployment_of_Containerized_Micro-Services/links/5e83d92692851c2f5270dbab/Vehicular-OBUs-As-On-Demand-Fogs-Resource-and-Context-Aware-Deployment-of-Containerized-Micro-Services.pdf,https://scholar.google.com/scholar?q=related:qtsYt3f9EPkJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
14,"OA Wahab, R Cohen, J Bentahar, H Otrok, A Mourad, ...",An endorsement-based trust bootstrapping approach for newcomer cloud services,Elsevier,2020,https://www.sciencedirect.com/science/article/pii/S0020025520302838,Information …,https://scholar.google.com/scholar?cites=2921238211967534338&as_sdt=2005&sciodt=2007&hl=en,18,2021-12-18 16:37,,,,,,,,,14,14,2,6,1,This paper addresses the challenge of providing trustworthy recommendations on newly deployed cloud services/resources for which little or no evidence about their trustworthiness is available. We also provide a two-level dishonesty discouragement mechanism to fight …,https://www.researchgate.net/profile/Omar-Wahab/publication/340450279_An_Endorsement-based_Trust_Bootstrapping_Approach_for_Newcomer_Cloud_Services/links/5e8d025892851c2f5288651e/An-Endorsement-based-Trust-Bootstrapping-Approach-for-Newcomer-Cloud-Services.pdf,https://scholar.google.com/scholar?q=related:AkWfKK1SiigJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
40,"OA Wahab, J Bentahar, H Otrok, A Mourad",A Stackelberg game for distributed formation of business-driven services communities,Elsevier,2016,https://www.sciencedirect.com/science/article/pii/S0957417415006764,Expert Systems with …,https://scholar.google.com/scholar?cites=12298431435642060327&as_sdt=2005&sciodt=2007&hl=en,19,2021-12-18 16:37,,,,,,,,,40,8,10,4,5,"With the advent of cloud computing and the rapid increase in the number of deployed services, the competition between functionally-similar Web services is increasingly governing the markets of services. For example, Amazon and Google are in an intense …",https://www.academia.edu/download/42396552/Stackelberg_Game.pdf,https://scholar.google.com/scholar?q=related:Jz7xFzvOrKoJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
14,"S Arisdakessian, OA Wahab, A Mourad, ...",FoGMatch: an intelligent multi-criteria IoT-Fog scheduling approach using game theory,ieeexplore.ieee.org,2020,https://ieeexplore.ieee.org/abstract/document/9109632/,IEEE/ACM …,https://scholar.google.com/scholar?cites=17236252303596050863&as_sdt=2005&sciodt=2007&hl=en,20,2021-12-18 16:37,,,,,,,,,14,14,4,4,1,"Cloud computing has long been the main backbone that Internet of Things (IoT) devices rely on to accommodate their storage and analytical needs. However, the fact that cloud systems are often located quite far from the IoT devices and the emergence of delay-critical IoT …",https://www.researchgate.net/profile/Sarhad-Arisdakessian-2/publication/341958501_FoGMatch_An_Intelligent_Multi-Criteria_IoT-Fog_Scheduling_Approach_Using_Game_Theory/links/5ee328c5458515814a582f5c/FoGMatch-An-Intelligent-Multi-Criteria-IoT-Fog-Scheduling-Approach-Using-Game-Theory.pdf,https://scholar.google.com/scholar?q=related:r9nZBiZ4M-8J:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
24,"SA Rahman, A Mourad, M El Barachi, ...",A novel on-demand vehicular sensing framework for traffic condition monitoring,Elsevier,2018,https://www.sciencedirect.com/science/article/pii/S2214209617301778,Vehicular …,https://scholar.google.com/scholar?cites=1897232371788300371&as_sdt=2005&sciodt=2007&hl=en,21,2021-12-18 16:37,,,,,,,,,24,8,6,4,3,"With the increased need for mobility and the overcrowding of cities, the area of Intelligent Transportation aims at improving the efficiency, safety, and productivity of transportation systems by relying on communication and sensing technologies. One of the main …",https://www.researchgate.net/profile/Azzam-Mourad/publication/324253421_A_novel_on-demand_vehicular_sensing_framework_for_traffic_condition_monitoring/links/5bd37c1c299bf1124fa633cb/A-novel-on-demand-vehicular-sensing-framework-for-traffic-condition-monitoring.pdf,https://scholar.google.com/scholar?q=related:U0DQSMpSVBoJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
7,"A Mourad, H Tout, OA Wahab, H Otrok, ...",Ad Hoc Vehicular Fog Enabling Cooperative Low-Latency Intrusion Detection,ieeexplore.ieee.org,2020,https://ieeexplore.ieee.org/abstract/document/9138386/,IEEE Internet of Things …,https://scholar.google.com/scholar?cites=6689443111974663338&as_sdt=2005&sciodt=2007&hl=en,22,2021-12-18 16:37,,,,,,,,,7,7,1,5,1,"Internet of Vehicles and vehicular networks have been compelling targets for malicious security attacks where several intrusion detection solutions have been proposed for protecting them. Nonetheless, their main problem lies in their heavy computation, which …",https://www.researchgate.net/profile/Azzam-Mourad/publication/342859892_Ad_Hoc_Vehicular_Fog_Enabling_Cooperative_Low-Latency_Intrusion_Detection/links/5f15e3624585151299aaf71f/Ad-Hoc-Vehicular-Fog-Enabling-Cooperative-Low-Latency-Intrusion-Detection.pdf,https://scholar.google.com/scholar?q=related:qvRuchGt1VwJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
55,"MA Laverdiere, A Mourad, A Hanna, ...",Security design patterns: Survey and evaluation,ieeexplore.ieee.org,2006,https://ieeexplore.ieee.org/abstract/document/4055006/,… on Electrical and …,https://scholar.google.com/scholar?cites=14151324212709077773&as_sdt=2005&sciodt=2007&hl=en,23,2021-12-18 16:37,,,,,,,,,55,3.67,14,4,15,"Security design patterns have been proposed recently as a tool for the improvement of software security during the architecture and design phases. Since the appearance of this research topic in 1997, several catalogs have emerged, and the security pattern community …",https://www.researchgate.net/profile/Azzam-Mourad/publication/224684157_Security_Design_Patterns_Survey_and_Evaluation/links/00b7d51471e77b1299000000/Security-Design-Patterns-Survey-and-Evaluation.pdf,https://scholar.google.com/scholar?q=related:DbPo_2SaY8QJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
12,"P Farhat, H Sami, A Mourad",Reinforcement R-learning model for time scheduling of on-demand fog placement,Springer,2020,https://link.springer.com/article/10.1007/s11227-019-03032-z,The Journal of Supercomputing,https://scholar.google.com/scholar?cites=1383698678103651348&as_sdt=2005&sciodt=2007&hl=en,24,2021-12-18 16:37,,10.1007/s11227-019-03032-z,,,,,,,12,12,4,3,1,"On the fly deployment of fog nodes near users provides the flexibility of pushing services anywhere and whenever needed. Nevertheless, taking a real-life scenario, the cloud might limit the number of fogs to place for minimizing the complexity of monitoring a large number …",https://www.researchgate.net/profile/Hani-Sami-2/publication/336750483_Reinforcement_R-learning_model_for_time_scheduling_of_on-demand_fog_placement/links/5dd2d92592851c382f49a2c8/Reinforcement-R-learning-model-for-time-scheduling-of-on-demand-fog-placement.pdf,https://scholar.google.com/scholar?q=related:FLSL2J3iMxMJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
36,"A Mourad, H Jebbaoui",SBA-XACML: Set-based approach providing efficient policy decision process for accessing Web services,Elsevier,2015,https://www.sciencedirect.com/science/article/pii/S0957417414004370,Expert systems with applications,https://scholar.google.com/scholar?cites=1805326213874546177&as_sdt=2005&sciodt=2007&hl=en,25,2021-12-18 16:37,,,,,,,,,36,6,18,2,6,Policy-based computing is taking an increasing role in providing real-time decisions and governing the systematic interaction among distributed Web services. XACML (eXtensible Access Control Markup Language) has been known as the de facto standard widely used by …,https://www.researchgate.net/profile/Azzam-Mourad/publication/265015972_SBA-XACML_Set-based_approach_providing_efficient_policy_decision_process_for_accessing_Web_services/links/5bd38100299bf1124fa6344f/SBA-XACML-Set-based-approach-providing-efficient-policy-decision-process-for-accessing-Web-services.pdf,https://scholar.google.com/scholar?q=related:AXaxYaDODRkJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
26,"H Tout, C Talhi, N Kara, ...",Selective mobile cloud offloading to augment multi-persona performance and viability,ieeexplore.ieee.org,2016,https://ieeexplore.ieee.org/abstract/document/7420629/,IEEE Transactions on …,https://scholar.google.com/scholar?cites=9208030830396664353&as_sdt=2005&sciodt=2007&hl=en,26,2021-12-18 16:37,,,,,,,,,26,5.2,7,4,5,"Fueled by changes in professional application models, personal interests and desires and technological advances in mobile devices, multi-persona has emerged recently to keep balance between different aspects, in our daily life, on a single mobile terminal. In this …",https://laur.lau.edu.lb:8443/xmlui/bitstream/handle/10725/5185/%28Postprint%29%20Selective.pdf?sequence=3&isAllowed=y,https://scholar.google.com/scholar?q=related:IWqjBkF_yX8J:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
10,"S AbdulRahman, H Tout, A Mourad, ...",FedMCCS: multicriteria client selection model for optimal IoT federated learning,ieeexplore.ieee.org,2020,https://ieeexplore.ieee.org/abstract/document/9212434/,IEEE Internet of Things …,https://scholar.google.com/scholar?cites=6335911559130138134&as_sdt=2005&sciodt=2007&hl=en,27,2021-12-18 16:37,,,,,,,,,10,10,3,4,1,"As an alternative centralized systems, which may prevent data to be stored in a central repository due to its privacy and/or abundance, federated learning (FL) is nowadays a game changer addressing both privacy and cooperative learning. It succeeds in keeping training …",https://www.researchgate.net/profile/Sawsan-Abdulrahman/publication/344871700_FedMCCS_Multicriteria_Client_Selection_Model_for_Optimal_IoT_Federated_Learning/links/5f9555a6299bf1b53e43a03d/FedMCCS-Multicriteria-Client-Selection-Model-for-Optimal-IoT-Federated-Learning.pdf,https://scholar.google.com/scholar?q=related:FkY-cv6t7VcJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
20,"H Tout, C Talhi, N Kara, A Mourad",Smart mobile computation offloading: Centralized selective and multi-objective approach,Elsevier,2017,https://www.sciencedirect.com/science/article/pii/S0957417417301586,Expert Systems with Applications,https://scholar.google.com/scholar?cites=7942960575433757770&as_sdt=2005&sciodt=2007&hl=en,28,2021-12-18 16:37,,,,,,,,,20,5,5,4,4,"Although mobile devices have been considerably upgraded to more powerful terminals, yet their lightness feature still impose intrinsic limitations in their computation capability, storage capacity and battery lifetime. With the ability to release and augment the limited resources of …",https://www.researchgate.net/profile/Azzam-Mourad/publication/314491788_Smart_Mobile_Computation_Offloading_Centralized_Selective_and_Multi-Objective_Approach/links/5bdd81ada6fdcc3a8dba50c7/Smart-Mobile-Computation-Offloading-Centralized-Selective-and-Multi-Objective-Approach.pdf,https://scholar.google.com/scholar?q=related:SlSpS48QO24J:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
30,"OA Wahab, H Otrok, A Mourad",A dempster–shafer based tit-for-tat strategy to regulate the cooperation in vanet using qos-olsr protocol,Springer,2014,https://link.springer.com/article/10.1007/s11277-013-1443-y,Wireless personal communications,https://scholar.google.com/scholar?cites=16193996903752628423&as_sdt=2005&sciodt=2007&hl=en,29,2021-12-18 16:37,,10.1007/s11277-013-1443-y,,,,,,,30,4.29,10,3,7,"In this paper, we address the problem of cooperation among vehicles in VANET using QoS-OLSR protocol in the presence of selfish nodes. QoS-OLSR is a proactive protocol that considers the Quality of Service (QoS) of the nodes while electing the cluster-heads and …",https://www.academia.edu/download/41977854/A_Dempster-Shafer_Based_Tit-for-Tat_Strategy.pdf,https://scholar.google.com/scholar?q=related:x3jzbWKivOAJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
28,"N Moati, H Otrok, A Mourad, JM Robert",Reputation-based cooperative detection model of selfish nodes in cluster-based QoS-OLSR protocol,Springer,2014,https://link.springer.com/content/pdf/10.1007/s11277-013-1419-y.pdf,Wireless personal …,https://scholar.google.com/scholar?cites=11801726549674448916&as_sdt=2005&sciodt=2007&hl=en,30,2021-12-18 16:37,,10.1007/s11277-013-1419-y,,,,,,,28,4,7,4,7,The QOLSR is a multimedia protocol that was designed on top of the optimized link state routing (OLSR) protocol for mobile ad hoc network. It considers the quality of service (QoS) of the nodes during the selection of the multi-point relay (MPRs) nodes. One of the …,https://core.ac.uk/download/pdf/144963617.pdf,https://scholar.google.com/scholar?q=related:FFikycQnyKMJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
26,"H Jebbaoui, A Mourad, H Otrok, R Haraty","Semantics-based approach for detecting flaws, conflicts and redundancies in XACML policies",Elsevier,2015,https://www.sciencedirect.com/science/article/pii/S0045790614003218,Computers & Electrical …,https://scholar.google.com/scholar?cites=7472383700090174388&as_sdt=2005&sciodt=2007&hl=en,31,2021-12-18 16:37,,,,,,,,,26,4.33,7,4,6,"Abstract XACML (eXtensible Access Control Markup Language) policies, which are widely adopted for defining and controlling dynamic access among Web/cloud services, are becoming more complex in order to handle the significant growth in communication and …",http://csm.beirut.lau.edu.lb/~rharaty/pdf/J4.pdf,https://scholar.google.com/scholar?q=related:tDtLhWI9s2cJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
